代號,名稱,擴充名,漲跌,昨收,開盤,幅度%,成交價,最高,最低,成交量,昨量,定價量,漲停,跌停,單量,成交金額,賣量,買量,振幅,買進,賣出
2308,台達電,2308,-5.0,1885.0,1890.0,0.27,1880.0,1935.0,1870.0,7821.0,9951.0,0.0,2070.0,1700.0,679.0,1483776.0,58.0,9.0,3.45,1880.0,1885.0
3017,奇鋐,3017,25.0,2325.0,2380.0,1.08,2350.0,2435.0,2335.0,2607.0,4014.0,0.0,2555.0,2095.0,171.0,620072.0,7.0,35.0,4.3,2345.0,2350.0
6805,富世達,6805,65.0,1395.0,1420.0,4.66,1460.0,1520.0,1385.0,1867.0,3328.0,0.0,1530.0,1260.0,49.0,272270.0,8.0,14.0,9.68,1460.0,1465.0
3653,健策,3653,5.0,3200.0,3280.0,0.16,3205.0,3290.0,3180.0,504.0,695.0,0.0,3520.0,2880.0,42.0,162650.0,1.0,4.0,3.44,3205.0,3215.0
2059,川湖,2059,155.0,8095.0,8255.0,1.91,8250.0,8545.0,8005.0,662.0,574.0,0.0,8900.0,7290.0,31.0,550919.0,2.0,1.0,6.67,8245.0,8260.0
2345,智邦,2345,55.0,2415.0,2485.0,2.28,2470.0,2540.0,2465.0,2763.0,3464.0,0.0,2655.0,2175.0,189.0,690693.0,21.0,14.0,3.11,2470.0,2475.0
3665,貿聯-KY,3665,-35.0,1900.0,1905.0,1.84,1865.0,1910.0,1865.0,1262.0,3366.0,0.0,2090.0,1710.0,105.0,237742.0,7.0,23.0,2.37,1865.0,1870.0
6197,佳必琪,6197,-10.5,369.0,370.5,2.85,358.5,376.0,358.0,3180.0,3625.0,0.0,405.5,332.5,174.0,116508.0,7.0,10.0,4.88,358.5,359.0
5289,宜鼎,5289,15.0,1515.0,1555.0,0.99,1530.0,1595.0,1520.0,2439.0,2866.0,0.0,1665.0,1365.0,133.0,378013.0,1.0,2.0,4.95,1530.0,1535.0
2395,研華,2395,-6.0,546.0,547.0,1.1,540.0,562.0,537.0,6654.0,7746.0,0.0,600.0,491.5,388.0,364805.0,9.0,65.0,4.58,540.0,541.0
8234,新漢,8234,-1.2,72.5,74.4,1.66,71.3,76.6,71.3,3302.0,4854.0,0.0,79.7,65.3,136.0,24532.0,30.0,10.0,7.31,71.3,71.4
2359,所羅門,2359,3.5,135.5,139.0,2.58,139.0,142.5,135.5,2706.0,1862.0,0.0,149.0,122.0,140.0,37708.0,9.0,18.0,5.17,139.0,139.5
6278,台表科,6278,5.0,200.0,204.5,2.57,199.5,212.0,199.5,8412.0,4467.0,0.0,213.5,175.0,260.0,172885.0,14.0,77.0,6.43,199.5,200.0
6451,訊芯-KY,6451,-7.0,525.0,530.0,1.33,518.0,544.0,517.0,3480.0,5506.0,0.0,577.0,472.5,214.0,183974.0,7.0,14.0,5.14,518.0,519.0
4979,華星光,4979,-2.0,434.5,439.0,0.46,432.5,443.0,429.5,2905.0,7035.0,0.0,477.5,391.5,152.0,126467.0,1.0,7.0,3.11,432.5,433.0
6442,光聖,6442,-5.0,1485.0,1525.0,0.34,1480.0,1555.0,1460.0,1296.0,3396.0,0.0,1630.0,1340.0,81.0,195040.0,10.0,4.0,6.4,1480.0,1485.0
3008,大立光,3008,0.0,3950.0,4025.0,0.0,3950.0,4140.0,3950.0,1512.0,1621.0,0.0,4345.0,3555.0,77.0,608367.0,11.0,7.0,4.81,3950.0,3965.0
3163,波若威,3163,-31.0,777.0,785.0,3.99,746.0,785.0,746.0,2638.0,5534.0,0.0,854.0,700.0,129.0,200829.0,5.0,29.0,5.02,746.0,747.0
4991,環宇-KY,4991,-20.5,482.0,505.0,4.25,461.5,506.0,461.5,4852.0,7936.0,0.0,530.0,434.0,237.0,234115.0,2.0,5.0,9.23,461.5,462.0
4977,眾達-KY,4977,-1.0,153.5,157.0,0.65,152.5,157.0,152.0,1037.0,1559.0,0.0,168.5,138.5,63.0,15969.0,4.0,19.0,3.26,152.0,152.5
2455,全新,2455,-4.5,335.0,342.0,1.34,330.5,350.0,330.0,5644.0,7375.0,0.0,368.5,301.5,290.0,191374.0,3.0,30.0,5.97,330.5,331.5
1519,華城,1519,-19.0,740.0,741.0,2.57,721.0,743.0,721.0,1588.0,1044.0,0.0,814.0,666.0,120.0,115395.0,1.0,35.0,2.97,721.0,722.0
